Latitude,Longitude,Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
51.49224823,-0.147114753,WMD,PM2.5,25/09/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,26/09/2025 00:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,27/09/2025 00:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,28/09/2025 00:00,7,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,29/09/2025 00:00,9,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,30/09/2025 00:00,10,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,1/10/2025 0:00,10,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,2/10/2025 0:00,11,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,3/10/2025 0:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,4/10/2025 0:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,5/10/2025 0:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,6/10/2025 0:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,7/10/2025 0:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,8/10/2025 0:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,9/10/2025 0:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,10/10/2025 0:00,9,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,11/10/2025 0:00,10,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,12/10/2025 0:00,14,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,13/10/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,14/10/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,15/10/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,16/10/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,17/10/2025 00:00,5,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,18/10/2025 00:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,19/10/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,20/10/2025 00:00,8,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,21/10/2025 00:00,4,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,22/10/2025 00:00,6,ug/m3,P
51.49224823,-0.147114753,WMD,PM2.5,23/10/2025 00:00,4,ug/m3,P
